Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121036-120042,WR,Jalen,Jalen McMillan,McMillan,8.714285714285714,14,5100,TB@SEA,TB,SEA,IR,Neck,,,,WR/FLEX
121036-129305,WR,Josh,Josh Downs,Downs,4.775000095367432,4,5100,LV@IND,IND,LV,,,,,,WR/FLEX
121036-57986,WR,Hunter,Hunter Renfrow,Renfrow,6.5,4,5100,MIA@CAR,CAR,MIA,,,,,,WR/FLEX
121036-120657,RB,Kendre,Kendre Miller,Miller,5.25,4,5100,NYG@NO,NO,NYG,,,,,,RB/FLEX
121036-27477,WR,Sterling,Sterling Shepard,Shepard,5.949999809265137,4,5100,TB@SEA,TB,SEA,,,,,,WR/FLEX
121036-71521,RB,Justice,Justice Hill,Hill,8.899999618530273,4,5100,HOU@BAL,BAL,HOU,,,,,,RB/FLEX
121036-71705,TE,Noah,Noah Fant,Fant,6,3,5000,DET@CIN,CIN,DET,O,Concussion,,,,TE/FLEX
121036-103547,WR,Luke,Luke McCaffrey,McCaffrey,6.650000095367432,4,5000,WAS@LAC,WAS,LAC,,,,,,WR/FLEX
121036-71845,RB,Miles,Miles Sanders,Sanders,5.675000190734863,4,5000,DAL@NYJ,DAL,NYJ,Q,Ankle,,,,RB/FLEX
121036-166112,RB,Ollie,Ollie Gordon II,Gordon II,4.133333206176758,3,5000,MIA@CAR,MIA,CAR,,,,,,RB/FLEX
121036-12532,D,Detroit,Detroit Lions,Lions,8.75,4,5000,DET@CIN,DET,CIN,,,,,,DEF
121036-110974,WR,Malik,Malik Washington,Washington,5.866666793823242,3,5000,MIA@CAR,MIA,CAR,,,,,,WR/FLEX
121036-89612,WR,Michael,Michael Wilson,Wilson,3.1500000953674316,4,5000,TEN@ARI,ARI,TEN,,,,,,WR/FLEX
121036-56809,WR,Allen,Allen Lazard,Lazard,8.300000190734863,1,4900,DAL@NYJ,NYJ,DAL,,,,,,WR/FLEX
121036-72297,RB,Rico,Rico Dowdle,Dowdle,4.699999809265137,4,4900,MIA@CAR,CAR,MIA,,,,,,RB/FLEX
121036-55042,TE,Dalton,Dalton Schultz,Schultz,5.150000095367432,4,4900,HOU@BAL,HOU,BAL,,,,,,TE/FLEX
121036-107293,RB,Tyjae,Tyjae Spears,Spears,7.584615267240084,13,4900,TEN@ARI,TEN,ARI,IR,Ankle,,,,RB/FLEX
121036-29501,WR,Brandin,Brandin Cooks,Cooks,3.825000047683716,4,4900,NYG@NO,NO,NYG,,,,,,WR/FLEX
121036-53097,WR,Josh,Josh Reynolds,Reynolds,2.799999952316284,1,4900,DAL@NYJ,NYJ,DAL,,,,,,WR/FLEX
121036-41872,TE,Evan,Evan Engram,Engram,2.6500000953674316,2,4900,DEN@PHI,DEN,PHI,,,,,,TE/FLEX
121036-56265,TE,Mike,Mike Gesicki,Gesicki,2.1000000635782876,3,4900,DET@CIN,CIN,DET,,,,,,TE/FLEX
121036-52451,RB,Samaje,Samaje Perine,Perine,0.5666666825612386,3,4800,DET@CIN,CIN,DET,,,,,,RB/FLEX
121036-185593,WR,Andrei,Andrei Iosivas,Iosivas,1.7000000476837158,1,4800,DET@CIN,CIN,DET,,,,,,WR/FLEX
121036-12555,D,Baltimore,Baltimore Ravens,Ravens,1.25,4,4800,HOU@BAL,BAL,HOU,,,,,,DEF
121036-56648,RB,Jeremy,Jeremy McNichols,McNichols,5.700000127156575,3,4800,WAS@LAC,WAS,LAC,,,,,,RB/FLEX
121036-114198,WR,Xavier,Xavier Legette,Legette,1.399999976158142,2,4800,MIA@CAR,CAR,MIA,Q,Hamstring,,,,WR/FLEX
121036-86811,TE,Cade,Cade Otton,Otton,2.133333365122477,3,4800,TB@SEA,TB,SEA,,,,,,TE/FLEX
121036-128810,TE,Theo,Theo Johnson,Johnson,4.275000095367432,4,4800,NYG@NO,NYG,NO,,,,,,TE/FLEX
121036-68712,WR,Tyler,Tyler Johnson,Johnson,2.7666667302449546,3,4700,DAL@NYJ,NYJ,DAL,,,,,,WR/FLEX
121036-168054,TE,Mason,Mason Taylor,Taylor,2.433333396911621,3,4700,DAL@NYJ,NYJ,DAL,,,,,,TE/FLEX
121036-87260,TE,Isaiah,Isaiah Likely,Likely,7.100000169542101,18,4700,HOU@BAL,BAL,HOU,,,,,,TE/FLEX
121036-151789,WR,Adonai,Adonai Mitchell,Mitchell,3.799999952316284,4,4700,LV@IND,IND,LV,,,,,,WR/FLEX
121036-12535,D,Indianapolis,Indianapolis Colts,Colts,8.5,4,4700,LV@IND,IND,LV,,,,,,DEF
121036-152103,RB,Jaylen,Jaylen Wright,Wright,1.9384615971491888,13,4700,MIA@CAR,MIA,CAR,,,,,,RB/FLEX
121036-137953,TE,AJ,AJ Barner,Barner,6,4,4700,TB@SEA,SEA,TB,,,,,,TE/FLEX
121036-147315,WR,Jayden,Jayden Higgins,Higgins,4.349999904632568,4,4700,HOU@BAL,HOU,BAL,,,,,,WR/FLEX
121036-70603,RB,Devin,Devin Singletary,Singletary,1.3250000476837158,4,4700,NYG@NO,NYG,NO,,,,,,RB/FLEX
121036-60451,TE,Tyler,Tyler Conklin,Conklin,2.3333333333333335,3,4600,WAS@LAC,LAC,WAS,,,,,,TE/FLEX
121036-28744,RB,Raheem,Raheem Mostert,Mostert,7.800000190734863,1,4600,LV@IND,LV,IND,,,,,,RB/FLEX
121036-88297,TE,Chig,Chig Okonkwo,Okonkwo,4.724999904632568,4,4600,TEN@ARI,TEN,ARI,,,,,,TE/FLEX
121036-12545,D,Philadelphia,Philadelphia Eagles,Eagles,8.75,4,4600,DEN@PHI,PHI,DEN,,,,,,DEF
121036-89627,WR,Brycen,Brycen Tremayne,Tremayne,4.633333206176758,3,4600,MIA@CAR,CAR,MIA,,,,,,WR/FLEX
121036-134837,WR,Tory,Tory Horton,Horton,7.099999904632568,4,4600,TB@SEA,SEA,TB,,,,,,WR/FLEX
121036-201547,WR,Jalen,Jalen Coker,Coker,6.6299997965494795,12,4600,MIA@CAR,CAR,MIA,IR,Quadriceps,,,,WR/FLEX
121036-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,2,2,4600,MIA@CAR,MIA,CAR,,,,,,WR/FLEX
121036-137122,RB,Tahj,Tahj Brooks,Brooks,1.7000000476837158,1,4600,DET@CIN,CIN,DET,,,,,,RB/FLEX
121036-91101,TE,Tommy,Tommy Tremble,Tremble,4.875,4,4600,MIA@CAR,CAR,MIA,,,,,,TE/FLEX
121036-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,3.549999952316284,4,4600,HOU@BAL,HOU,BAL,,,,,,WR/FLEX
121036-130270,TE,Adam,Adam Trautman,Trautman,4.75,2,4500,DEN@PHI,DEN,PHI,,,,,,TE/FLEX
121036-91361,RB,Hassan,Hassan Haskins,Haskins,0,3,4500,WAS@LAC,LAC,WAS,,,,,,RB/FLEX
121036-158983,TE,Ja'Tavion,Ja'Tavion Sanders,Sanders,4.899999936421712,3,4500,MIA@CAR,CAR,MIA,Q,Ankle,,,,TE/FLEX
121036-12550,D,Seattle,Seattle Seahawks,Seahawks,12.75,4,4500,TB@SEA,SEA,TB,,,,,,DEF
121036-151909,WR,Dont'e,Dont'e Thornton Jr.,Thornton Jr.,2.9749999046325684,4,4500,LV@IND,LV,IND,,,,,,WR/FLEX
